2022-08-02 10:20:31,282 {'Time': '2022-08-02T10:19:56.600512813Z', 'Protocol': 'TCP', 'Source': '29.249.65.65', 'Destination': '192.168.137.247', 'P_src': '20526', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:32,277 {'Time': '2022-08-02T10:19:57.83999495Z', 'Protocol': 'TCP', 'Source': '241.85.108.226', 'Destination': '192.168.137.247', 'P_src': '22051', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:33,407 {'Time': '2022-08-02T10:19:57.634044081Z', 'Protocol': 'TCP', 'Source': '162.11.77.125', 'Destination': '192.168.137.247', 'P_src': '23807', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:35,142 {'Time': '2022-08-02T10:19:58.83006777Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '126.198.131.59', 'P_src': '80', 'P_dst': '26368', 'event': 'Dos'}
2022-08-02 10:20:35,143 {'Time': '2022-08-02T10:19:58.82978858Z', 'Protocol': 'TCP', 'Source': '171.241.146.3', 'Destination': '192.168.137.247', 'P_src': '26369', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:35,765 {'Time': '2022-08-02T10:19:58.589525802Z', 'Protocol': 'TCP', 'Source': '137.108.253.66', 'Destination': '192.168.137.247', 'P_src': '27334', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:38,398 {'Time': '2022-08-02T10:19:59.112002987Z', 'Protocol': 'UDP', 'Source': '192.168.137.247', 'Destination': '192.168.137.1', 'P_src': '35336', 'P_dst': '53', 'event': 'Dos'}
2022-08-02 10:20:39,353 {'Time': '2022-08-02T10:19:59.583991106Z', 'Protocol': 'TCP', 'Source': '130.104.147.183', 'Destination': '192.168.137.247', 'P_src': '33102', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:40,667 {'Time': '2022-08-02T10:20:00.113419855Z', 'Protocol': 'TCP', 'Source': '52.241.238.178', 'Destination': '192.168.137.247', 'P_src': '35229', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:43,926 {'Time': '2022-08-02T10:20:00.584766107Z', 'Protocol': 'TCP', 'Source': '227.229.192.91', 'Destination': '192.168.137.247', 'P_src': '40255', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:46,922 {'Time': '2022-08-02T10:20:01.114724729Z', 'Protocol': 'TCP', 'Source': '146.200.176.206', 'Destination': '192.168.137.247', 'P_src': '50383', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:50,099 {'Time': '2022-08-02T10:20:01.584383297Z', 'Protocol': 'TCP', 'Source': '198.125.11.168', 'Destination': '192.168.137.247', 'P_src': '5449', 'P_dst': '80', 'event': 'Dos'}
2022-08-02 10:20:50,100 {'Time': '2022-08-02T10:20:01.584404571Z', 'Protocol': 'TCP', 'Source': '192.168.137.247', 'Destination': '198.125.11.168', 'P_src': '80', 'P_dst': '5449', 'event': 'Dos'}
2022-08-02 10:20:53,562 {'Time': '2022-08-02T10:20:02.93016476Z', 'Protocol': 'TCP', 'Source': '33.244.1.139', 'Destination': '192.168.137.247', 'P_src': '21038', 'P_dst': '80', 'event': 'Dos'}
